country,abortion,divorce,suicide,gov,transport,taxes,bribe,homo,prost,cont
Argentina,3.4,5.77,1.7,1.88,2.1,1.64,1.1,2.95,2.14,SouthAmerica
Australia,-,-,-,-,-,-,-,-,-,Australia
Belarus,4.65,5.03,2.78,2.73,3.08,3.34,2.03,1.93,2.36,Europe
Brazil,2.46,4.9,1.4,2.73,2.9,2.77,1.41,2.43,2.03,SouthAmerica
Chile,1.82,3.51,1.69,4.06,3.14,1.86,1.45,1.83,1.8,SouthAmerica
China,4.89,4.76,2.6,1.7,1.58,1.54,1.34,1.2,1.21,Asia
Colombia,-,-,-,-,-,-,-,-,-,SouthAmerica
Egypt,-,-,-,-,-,-,-,-,-,Africa
India,3.38,2.69,1.58,1.78,1.46,1.49,1.41,1.2,1.51,Asia
Iraq,-,-,-,-,-,-,-,-,-,Asia
Japan,3.71,4.93,2.7,1.99,1.52,1.48,1.79,2.45,1.87,Asia
Jordan,-,-,-,-,-,-,-,-,-,Asia
Mexico,4.25,4.83,3.18,4.92,4.2,3.8,2.75,2.89,3.17,NorthAmerica
Moldova,-,-,-,-,-,-,-,-,-,Europe
Morocco,-,-,-,-,-,-,-,-,-,Europe
Nigeria,3.81,3.27,1.83,2.05,2.42,2.23,2.07,1.8,2.17,Africa
Pakistan,-,-,-,-,-,-,-,-,-,Asia
Peru,-,-,-,-,-,-,-,-,-,SouthAmerica
Philippines,-,-,-,-,-,-,-,-,-,Asia
Poland,3.35,3.85,1.95,2.12,-,2.77,1.54,1.82,1.84,Europe
Russia,4.54,4.79,2.24,2.12,2.76,2.89,1.44,1.41,1.77,Asia
South Africa,2.8,3.52,2.08,2.28,-,2.69,2.05,2.28,2.1,Africa
South Korea,4.25,4.28,2.9,2.2,2.77,1.55,1.81,1.56,2.18,Asia
Spain,4.74,5.98,2.28,2.13,2.12,2.31,1.38,4.44,3.56,Europe
Sweden,5.37,6.33,3.35,1.63,2,2.47,1.63,4.53,2.15,Europe
Switzerland,3.23,4.77,2.98,1.88,1.7,2.34,1.53,4.23,3.7,Europe
Taiwan,-,-,-,-,-,-,-,-,-,Asia
Turkey,4,5.03,1.65,1.52,1.96,1.24,1.2,1.57,1.66,Europe
Ukraine,-,-,-,-,-,-,-,-,-,Europe
USA,4,4.91,2.25,1.92,2.14,1.92,1.48,3.07,2.39,NorthAmerica
Question,country,abortion,Suicide,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Someone accepting a bribe,Homosexuality,Prostitution,-
