country,abortion,divorce,suicide,gov,transport,taxes,bribe,homo,prost,cont
Argentina,3.18,6.51,2.26,2.51,2.51,1.43,1.43,5.3,4.14,SouthAmerica
Australia,5.65,6.66,3.2,1.76,2.31,2.04,1.49,5.64,4.62,Australia
Belarus,-,-,-,-,-,-,-,-,-,Europe
Brazil,2.43,5.63,1.8,2.72,3.94,3.62,1.86,4.24,3.13,SouthAmerica
Chile,2.64,5.96,2.3,4.26,3.71,1.89,1.67,4.86,3.53,SouthAmerica
China,2.09,2.7,1.86,3.51,2.03,2,1.71,1.62,1.43,Asia
Colombia,-,-,-,1.72,-,1.56,1.56,3.71,1.94,SouthAmerica
Egypt,-,-,1.15,1.99,1.73,1.72,1.36,-,-,Africa
India,3.25,3.91,3.38,3.06,3.27,3.03,2.97,3.02,3.1,Asia
Iraq,1.41,1.65,-,-,-,-,1.14,-,-,Asia
Japan,4.59,6.45,2.88,2.09,1.58,1.46,1.54,4.77,2.03,Asia
Jordan,1.21,2.22,1.06,2.7,1.9,1.83,1.13,1.02,1.01,Asia
Mexico,3.16,5.25,2.56,4.09,4.31,2.62,2.44,4.53,3.89,NorthAmerica
Moldova,3.18,4.5,2.04,3.27,3.39,3.55,2.26,2.33,2.39,Europe
Morocco,1.8,3.99,1.35,1.77,2.23,1.78,1.59,-,-,Europe
Nigeria,-,-,-,-,-,-,-,-,-,Africa
Pakistan,-,-,-,-,-,-,-,-,-,Asia
Peru,-,-,-,-,-,-,-,-,-,SouthAmerica
Philippines,-,-,-,-,-,-,-,-,-,Asia
Poland,3,4.67,2.26,2.32,2.49,2.44,1.37,3.07,2.48,Europe
Russia,4.11,5.41,2.22,2.83,3.94,3.03,1.82,2.46,2.28,Asia
South Africa,2.65,3.85,2.4,2.6,2.72,2.51,2.37,2.97,2.51,Africa
South Korea,3.52,4.6,2.93,2.81,2.69,1.64,1.57,2.81,2.51,Asia
Spain,5.52,7.09,3.06,2.53,2.4,2.06,1.82,6.66,4.64,Europe
Sweden,7.85,8.38,4.39,1.85,2.68,2.25,1.97,8.43,3.08,Europe
Switzerland,5.53,6.89,4.56,1.53,1.81,2.01,1.49,7.34,5.12,Europe
Taiwan,3.54,4.66,2.38,2.72,2.03,1.99,1.55,3.8,2.9,Asia
Turkey,2.33,3.43,1.52,1.58,1.83,1.35,1.29,1.74,1.76,Europe
Ukraine,3.85,4.89,2.16,3.37,3.84,3.13,2.46,2.52,2.49,Europe
USA,4.48,5.83,2.85,2.29,2.6,2.06,1.71,4.57,3.25,NorthAmerica
Question,Abortion,Divorce,Suicide,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Someone accepting a bribe,Homosexuality,Prostitution,-
