country,abortion,divorce,suicide,gov,transport,taxes,bribe,homo,prost,cont
Argentina,2.58,5.44,1.98,2.59,2.43,1.87,1.26,4.33,3.38,SouthAmerica
Australia,-,-,-,-,-,-,-,-,-,Australia
Belarus,-,-,-,-,-,-,-,-,-,Europe
Brazil,-,-,-,-,-,-,-,-,-,SouthAmerica
Chile,2.39,5.24,2.08,3.33,3.41,2.15,2.05,3.98,3.06,SouthAmerica
China,3.31,2.92,1.43,2.13,1.34,1.57,1.34,1.14,1.1,Asia
Colombia,-,-,-,-,-,-,-,-,-,SouthAmerica
Egypt,2.15,4.59,1.18,1.82,1.69,1.58,1.14,1.01,1.07,Africa
India,3.19,3.9,2.73,2.34,2.11,2.14,1.88,3.08,2.72,Asia
Iraq,1.61,2,-,-,-,-,1.31,-,-,Asia
Japan,4.73,6.38,3.03,2.09,1.62,1.46,1.53,4.36,2.18,Asia
Jordan,1.48,3.18,1.1,1.7,1.34,1.56,1.13,1.05,1.05,Asia
Mexico,2.56,4.53,1.71,3.75,3.81,2.31,2.17,3.58,3.06,NorthAmerica
Moldova,3.61,4.42,2.24,3.85,4.59,4.19,2.93,2.32,2.61,Europe
Morocco,1.63,3.47,1.07,1.68,1.81,1.19,1.09,-,-,Europe
Nigeria,1.68,2.47,1.62,1.97,2.29,2.03,1.91,1.5,1.58,Africa
Pakistan,1.92,1.89,1.09,1.53,1.29,1.19,1.15,1.05,1.07,Asia
Peru,1.81,3.83,1.74,3.49,2.74,2.11,1.73,2.62,2.05,SouthAmerica
Philippines,2.75,3.19,2.57,3.57,3.52,3.14,3.21,3.88,3.22,Asia
Poland,-,-,-,-,-,-,-,-,-,Europe
Russia,-,-,-,-,-,-,-,-,-,Asia
South Africa,3,4.11,2.23,2.89,2.61,2.7,2.52,3.16,2.57,Africa
South Korea,-,4.58,2.77,-,2.75,1.59,1.42,2.77,2.2,Asia
Spain,4.87,6.42,3.14,2.11,2.24,2.16,1.63,6.17,4.72,Europe
Sweden,7.38,7.8,4.12,2.08,-,2.41,1.83,7.65,-,Europe
Switzerland,-,-,-,-,-,-,-,-,-,Europe
Taiwan,-,-,-,-,-,-,-,-,-,Asia
Turkey,-,-,-,-,-,-,-,-,-,Europe
Ukraine,-,-,-,-,-,-,-,-,-,Europe
USA,4.39,5.93,2.67,2.18,2.65,2.28,1.57,4.75,3.1,NorthAmerica
Question,2.81,4.11,-,2.45,2.37,2.05,1.72,2.95,2.26,
Question,Abortion,Divorce,Suicide,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Someone accepting a bribe,Homosexuality,Prostitution,-
